Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,FirstItemName,FirstItemPercent,SecondItemName,SecondItemPercent,ThirdItemName,ThirdItemPercent,FourthItemName,FourthItemPercent,FifthItemName,FifthItemPercent,SixthItemName,SixthItemPercent,SeventhItemName,SeventhItemPercent
Kassadin,Middle,0.4619,0.0227,0.0011,26.16,8.06,5.93,6.4,3.91,21024,24028,2266,156.8,1.6,6.14,12038,41,Rod of Ages,15.38,Abyssal Scepter,15.38,Zhonya's Hourglass,7.69,Ionian Boots of Lucidity,7.69,Doran's Ring,7.69,Poro-Snax,7.69,Other,
Katarina,Middle,0.5087,0.057,0.0092,54.53,9.44,6.63,6.72,4.3,23340,18896,1808,170.5,1.29,2.98,12611,9,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Kayle,Top,0.5356,0.0267,0.0157,37.15,5.6,5.92,6.17,2.69,20450,24229,8175,209.7,3.58,7.37,12829,11,Guinsoo's Rageblade,18.18,Void Staff,9.09,Fiendish Codex,9.09,Runaan's Hurricane,9.09,Mercury's Treads,9.09,Corrupting Potion,9.09,Other,
Kennen,Top,0.4766,0.0122,0.0005,30.63,5.27,5.7,6.65,2.56,22170,19648,2045,176.6,1.18,2.59,11805,53,Guinsoo's Rageblade,9.09,Void Staff,9.09,Infinity Edge,9.09,Rabadon's Deathcap,9.09,Lord Dominik's Regards,9.09,Doran's Shield,9.09,Other,
Kha'Zix,Jungle,0.4911,0.1234,0.039,36.79,8.67,5.86,6.39,4.08,19050,31263,10919,45.1,11.84,68.61,12738,7,Enchantment:Warrior,18.18,Tiamat,12.12,Youmuu's Ghostblade,9.09,Caulfield's Warhammer,6.06,Ionian Boots of Lucidity,6.06,Boots of Swiftness,6.06,Other,
Kindred,Jungle,0.5302,0.0694,0.0583,22.75,7.15,5.99,7.58,3.37,19822,28483,13395,48.6,15.63,62.72,12347,5,Enchantment:Sated Devourer,16.33,Runaan's Hurricane,14.29,Boots of Swiftness,12.24,Long Sword,10.2,Maw of Malmortius,10.2,Sterak's Gage,6.12,Other,
Kog'Maw,ADC,0.5594,0.031,0.0643,14.33,8.49,6.46,7.01,3.76,25812,19968,3429,198.6,2.96,10.42,13634,2,Guinsoo's Rageblade,17.14,Runaan's Hurricane,17.14,Blade of the Ruined King,11.43,Doran's Blade,11.43,Recurve Bow,8.57,Enchantment:Alacrity,5.71,Other,
LeBlanc,Middle,0.469,0.1345,0.1112,37.58,8.42,5.46,6.06,4.16,21411,18377,2091,152.7,1.52,5.88,12116,20,Sorcerer's Shoes,15.79,Morellonomicon,13.16,Doran's Ring,10.53,Void Staff,10.53,Abyssal Scepter,10.53,Rabadon's Deathcap,7.89,Other,
Lee Sin,Jungle,0.4682,0.215,0.0181,73.34,6.51,5.84,9,3.12,15060,30488,6581,39.4,9.9,59.3,11751,26,Enchantment:Warrior,20,Boots of Swiftness,11.58,Dead Man's Plate,7.37,Sightstone,6.32,Long Sword,6.32,Ionian Boots of Lucidity,4.21,Other,
Leona,Support,0.5109,0.1132,0.0068,74.47,1.86,5.85,13.37,0.67,8330,25163,3200,46.8,0.23,0.25,9740,16,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Lissandra,Middle,0.483,0.0471,0.0056,23.49,5.59,5.88,8.22,2.67,19936,21697,2871,190.1,1.79,6.81,12195,35,Doran's Ring,21.74,Rod of Ages,13.04,Ionian Boots of Lucidity,10.87,Morellonomicon,8.7,Blasting Wand,6.52,Void Staff,6.52,Other,
Lucian,ADC,0.4917,0.3579,0.0129,52.85,7.18,5.65,6.83,3.43,21972,19917,3122,212.9,3.01,9.23,13350,7,Essence Reaver,17.54,Doran's Blade,13.74,Rapid Firecannon,8.53,Ionian Boots of Lucidity,8.06,Statikk Shiv,5.21,B. F. Sword,4.74,Other,
Lulu,Support,0.472,0.0444,0.0102,41.7,1.67,5.5,13.16,0.62,9159,16775,1186,26,0.31,0.4,9856,20,Doran's Ring,12.73,Ionian Boots of Lucidity,10.91,Rod of Ages,7.27,Total Biscuit of Rejuvenation,5.45,Locket of the Iron Solari,3.64,Frost Queen's Claim,3.64,Other,
Lux,Middle,0.4939,0.1604,0.0292,38.18,6.61,5.33,9.26,3.42,23371,14853,1535,170.1,1.44,5.81,12250,7,Ionian Boots of Lucidity,22.22,Frost Queen's Claim,22.22,Faerie Charm,11.11,Rabadon's Deathcap,11.11,Fiendish Codex,11.11,Poro-Snax,11.11,Other,
Malphite,Top,0.5252,0.0802,0.6344,22.93,4.86,4.58,8.94,2.62,18885,23209,2728,175.7,1.33,2.91,11861,10,Sunfire Cape,17.14,Doran's Ring,11.43,Corrupting Potion,11.43,The Dark Seal,5.71,Mercury's Treads,5.71,Negatron Cloak,5.71,Other,
Malzahar,Middle,0.5457,0.0405,0.0062,62.81,6.39,5.6,7.31,3.13,24329,19493,1829,182.6,2.28,7.68,12547,8,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Maokai,Jungle,0.4956,0.0119,0.0056,29.31,4.55,5.37,11.65,2.25,15889,37289,12096,47.9,7.26,57.78,11455,42,Doran's Ring,16.3,Sunfire Cape,16.3,Spirit Visage,9.78,Boots of Swiftness,6.52,Glacial Shroud,4.35,Cloth Armor,4.35,Other,
Master Yi,Jungle,0.511,0.1056,0.5027,45.6,8.59,6.68,5.03,3.66,18251,30223,7946,59.3,12.39,76.04,13239,2,Enchantment:Devourer,20,Blade of the Ruined King,15,Phage,12,Boots of Speed,8,Hunter's Potion,8,Ruby Crystal,4,Other,
Miss Fortune,ADC,0.5078,0.047,0.001,32.18,6.85,6.15,8.3,3.18,23587,19467,2858,195.4,2.22,6.5,12941,11,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Mordekaiser,Top,0.4717,0.0044,0.0009,39.04,5.26,6.63,5.56,2.43,21832,19055,10123,188,3.27,5.48,12081,56,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Morgana,Middle,0.5236,0.0292,0.0289,48.34,5.67,4.92,9.77,2.95,22119,20712,1534,173,1.41,4.97,12410,10,Morellonomicon,15.15,Zhonya's Hourglass,12.12,Doran's Ring,9.09,Sorcerer's Shoes,9.09,Abyssal Scepter,6.06,Blasting Wand,6.06,Other,
